0.4,0
0.4632,0
0.5365,0
0.6213,0
0.7195,0
0.8332,0
0.9649,0
1.117,0
1.294,0
1.499,0
1.736,0
2.01,0
2.328,0
2.696,0
3.122,0
3.615,0
4.187,0.4
4.849,4.3
5.615,13
6.503,20.6
7.531,21.7
8.721,17.6
10.1,11.7
11.7,6.5
13.54,2.9
15.69,1
18.17,0.2
21.04,0
24.36,0
28.21,0
32.67,0
37.84,0
43.82,0
50.75,0
58.77,0
68.06,0
78.82,0
91.28,0
105.7,0
122.4,0
141.8,0
164.2,0
190.1,0
220.2,0
255,0
295.3,0
342,0
396.1,0
458.7,0
531.2,0
615.1,0
712.4,0
825,0
955.4,0
1106,0
1281,0
1484,0
1718,0
1990,0
2305,0
2669,0
3091,0
3580,0
4145,0
4801,0
5560,0
6439,0
7456,0
8635,0
10000,0
